countyID,year,unemployment_rate,per_capita_income,bachelors_rate,median_age,poverty_rate,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,total_pop,gdp
08023,2019,9.4,21732,19.3,51.9,,,,,,,,,,
08025,2019,13.3,15517,9,35.4,,,,,,,,,,
08027,2019,7.2,29258,32.5,59.7,,,,,,,,,,
08029,2019,5.7,26499,21.7,47.3,,,,,,,,,,
08031,2019,3.6,43770,49.4,34.5,,,,,,,,,,
08033,2019,2.5,26323,24.1,48.8,,,,,,,,,,
08035,2019,2.5,53313,58,38.7,,,,,,,,,,
08037,2019,2,44391,47.2,37,,,,,,,,,,
08039,2019,1.7,44690,35.8,46.1,,,,,,,,,,
08041,2019,5.2,33728,38.5,34.2,,,,,,,,,,
08043,2019,4.2,22692,18.5,45.1,,,,,,,,,,
08045,2019,4.5,33393,31,36.5,,,,,,,,,,
08047,2019,1.7,49641,39.6,49,,,,,,,,,,
08049,2019,3.6,37876,38,42.9,,,,,,,,,,
08051,2019,3.7,32191,56.2,34.5,,,,,,,,,,
08053,2019,5.5,33570,45.7,56.1,,,,,,,,,,
08055,2019,3.3,25140,21.1,55,,,,,,,,,,
08057,2019,2,28199,20,51.6,,,,,,,,,,
08059,2019,3.4,44119,45.2,40.3,,,,,,,,,,
08061,2019,2.7,25937,21.4,42.5,,,,,,,,,,
08063,2019,3.5,27797,18.7,38.3,,,,,,,,,,
08065,2019,3.1,29122,32.3,36.7,,,,,,,,,,
08067,2019,3.6,39493,44.2,40.4,,,,,,,,,,
08069,2019,4.1,37363,47.3,36,,,,,,,,,,
08071,2019,6.7,25813,19.5,45.9,,,,,,,,,,
08073,2019,2.8,16753,12.6,38,,,,,,,,,,
08075,2019,3.5,26727,20.2,38.2,,,,,,,,,,
08077,2019,6.1,29596,28.2,39.7,,,,,,,,,,
08079,2019,2.9,33955,46.5,56.1,,,,,,,,,,
08081,2019,3.5,29100,17.6,36.6,,,,,,,,,,
08083,2019,4.3,26072,29.6,45.2,,,,,,,,,,
08085,2019,6.3,28078,25.2,45.2,,,,,,,,,,
08087,2019,3.8,25064,17.5,36.2,,,,,,,,,,
08089,2019,7.6,21110,18.6,39.9,,,,,,,,,,
08091,2019,4.2,41160,47.8,54.1,,,,,,,,,,
08093,2019,5.5,36500,29.8,50.7,,,,,,,,,,
08095,2019,1.4,26494,23.8,37.1,,,,,,,,,,
08097,2019,2.7,54875,60.8,41.8,,,,,,,,,,
08099,2019,5.3,23698,18.3,38.3,,,,,,,,,,
08101,2019,6.6,25051,21.8,39.3,,,,,,,,,,
08103,2019,6.3,26487,22.7,36.9,,,,,,,,,,
08105,2019,7.4,24582,24.5,42.1,,,,,,,,,,
08107,2019,3,43769,49.8,40.2,,,,,,,,,,
08109,2019,4.4,22511,22.1,49,,,,,,,,,,
08111,2019,0,34502,35.7,51.2,,,,,,,,,,
08113,2019,2.5,47526,59.4,41.8,,,,,,,,,,
08115,2019,6.6,27527,19.5,44.1,,,,,,,,,,
08117,2019,2.9,41281,52.4,39.1,,,,,,,,,,
08119,2019,6.1,35703,37.7,50,,,,,,,,,,
08121,2019,2.4,27860,15.4,41.6,,,,,,,,,,
08123,2019,3.6,31793,27.5,34.4,,,,,,,,,,
08125,2019,3.3,27955,21.8,37.8,,,,,,,,,,
09001,2019,6.1,57263,47.9,40.6,,,,,,,,,,
09003,2019,5.2,40540,38.1,40.4,,,,,,,,,,
09005,2019,4.6,44480,35.4,47.3,,,,,,,,,,
09007,2019,4.4,46023,42.2,45.7,,,,,,,,,,
09009,2019,6.1,38009,35,40.3,,,,,,,,,,
09011,2019,5.4,39426,33.3,41.4,,,,,,,,,,
09013,2019,4.5,41371,41.8,37.7,,,,,,,,,,
09015,2019,5.1,32732,24.3,41.2,,,,,,,,,,
10001,2019,5,28845,23.7,37.7,,,,,,,,,,
10003,2019,5.4,37532,36.2,38.4,,,,,,,,,,
10005,2019,4.1,35491,28.3,49.6,,,,,,,,,,
11001,2019,6.6,56147,58.5,34,,,,,,,,,,
12001,2019,4.7,28646,43.3,31.6,,,,,,,,,,
12003,2019,4.5,24686,13.2,37.7,,,,,,,,,,
12005,2019,4.8,29290,23.7,39.8,,,,,,,,,,
12007,2019,6,20529,9.9,39.7,,,,,,,,,,
12009,2019,4.9,32176,30.2,47.3,,,,,,,,,,
12011,2019,5.7,32909,32.4,40.4,,,,,,,,,,
12013,2019,3.9,19304,9.5,41.6,,,,,,,,,,
12015,2019,5.7,32144,23.4,59.1,,,,,,,,,,
12017,2019,7.4,26989,18.3,56.5,,,,,,,,,,
12019,2019,5.5,30483,24.9,39.7,,,,,,,,,,
12021,2019,3.7,45567,36.4,50.8,,,,,,,,,,
12023,2019,8,24275,14.9,40.4,,,,,,,,,,
12027,2019,4.6,18503,11.5,40.9,,,,,,,,,,
12029,2019,4.8,21144,10.4,46.5,,,,,,,,,,
12031,2019,5.4,31327,30,36.2,,,,,,,,,,
12033,2019,5.7,28022,26.5,37.2,,,,,,,,,,
12035,2019,4.2,29383,25.1,51.3,,,,,,,,,,
12037,2019,5.3,26574,18.8,46.4,,,,,,,,,,
12039,2019,6.6,20734,16.2,40.8,,,,,,,,,,
12041,2019,3.9,21578,13.4,42.1,,,,,,,,,,
12043,2019,12.9,21953,11.2,47.9,,,,,,,,,,
12045,2019,4.4,23252,19.2,44.9,,,,,,,,,,
12047,2019,10.2,16136,7.9,40.9,,,,,,,,,,
12049,2019,5.2,17754,10.2,35.4,,,,,,,,,,
12051,2019,6.5,19167,8.3,34,,,,,,,,,,
12053,2019,6,25860,18.4,49,,,,,,,,,,
12055,2019,8.1,25752,17.2,53.5,,,,,,,,,,
12057,2019,5.1,32343,33.5,37.2,,,,,,,,,,
12059,2019,8.6,19201,10.7,42.7,,,,,,,,,,
12061,2019,6.4,36516,29.1,53.5,,,,,,,,,,
12063,2019,6,20019,12.6,41.7,,,,,,,,,,
12065,2019,6.1,24510,22.3,48,,,,,,,,,,
12067,2019,9.2,20776,11.8,37.3,,,,,,,,,,
12069,2019,5,28348,24,46.9,,,,,,,,,,
12071,2019,5.1,33543,28.2,48.5,,,,,,,,,,
12073,2019,6,30586,46.2,31,,,,,,,,,,
12075,2019,5.5,21579,12.2,46.9,,,,,,,,,,
12077,2019,6.5,17872,14.4,40.7,,,,,,,,,,
12079,2019,3.9,19510,14,43.5,,,,,,,,,,
12081,2019,5.5,33853,29.8,48.3,,,,,,,,,,
12083,2019,8.2,25839,20.1,48.7,,,,,,,,,,
12085,2019,4.4,42199,34.1,52.2,,,,,,,,,,
12086,2019,5.1,28224,29.8,39.9,,,,,,,,,,
12087,2019,3,46028,34.4,47.7,,,,,,,,,,
12089,2019,3.7,36553,29.6,45.3,,,,,,,,,,
12091,2019,5.2,33019,31.1,36.9,,,,,,,,,,
12093,2019,5.5,21367,11.3,41.1,,,,,,,,,,
12095,2019,4.7,30456,34.6,35.1,,,,,,,,,,
12097,2019,4.8,22196,21.8,35.9,,,,,,,,,,
12099,2019,5.4,39933,36.7,44.8,,,,,,,,,,
12101,2019,5.3,29001,24,44.5,,,,,,,,,,
12103,2019,5.2,35196,31.7,48.1,,,,,,,,,,
12105,2019,5.6,24864,20.2,40.2,,,,,,,,,,
12107,2019,8.4,20915,12.3,45.1,,,,,,,,,,
12109,2019,4.3,43194,44.7,43.7,,,,,,,,,,
12111,2019,5.2,27121,21.6,45.1,,,,,,,,,,
12113,2019,4.9,31691,27.7,39.9,,,,,,,,,,
12115,2019,4.3,41081,35.4,56.1,,,,,,,,,,
12117,2019,4.6,35175,39.6,39.2,,,,,,,,,,
12119,2019,3.9,35560,31.8,67.4,,,,,,,,,,
12121,2019,5.6,22808,15.5,43.3,,,,,,,,,,
12123,2019,6.3,17391,8.3,42,,,,,,,,,,
12125,2019,7.4,17010,9.2,39.3,,,,,,,,,,
12127,2019,4.6,28517,23.7,46.6,,,,,,,,,,
12129,2019,4.9,25733,18.3,40.6,,,,,,,,,,
12131,2019,4.5,34475,28.5,44,,,,,,,,,,
12133,2019,7.9,18401,12.5,41.5,,,,,,,,,,
13001,2019,3.8,21300,9.8,40.3,,,,,,,,,,
13003,2019,8.3,20338,12.2,36.4,,,,,,,,,,
13005,2019,4.5,20326,10.5,36.7,,,,,,,,,,
13007,2019,7.3,22525,12.9,46.1,,,,,,,,,,
13009,2019,6.1,21716,23.3,35.5,,,,,,,,,,
13011,2019,5.2,21403,13.4,41.1,,,,,,,,,,
